23 April,Thursday of the third week of Easter,,,
,Saint George,,,
,Saint Adalbert,,,
24 April,Friday of the third week of Easter,,,
,Saint Fidelis of Sigmaringen,,,
25 April,Anzac Day,,,
,,,,
26 April,4 EASTER,,,
27 April,Monday of the fourth week of Easter,,,
,Saint Louis Grignion de Montfort,,,
28 April,Saint Peter Chanel,,,
29 April,Saint Catherine of Siena,,,
30 April,Thursday of the fourth week of Easter,,,
,Saint Pius V,,,
1 May,Friday of the fourth week of Easter,,,
,Saint Joseph the Worker,,,
2 May,Saint Athanasius,,,
,,,,
3 May,5 EASTER,,,
4 May,Monday of the fifth week of Easter,,,
5 May,Tuesday of the fifth week of Easter,,,
6 May,Wednesday of the fifth week of Easter,,,
7 May,Thursday of the fifth week of Easter,,,
8 May,Friday of the fifth week of Easter,,,
9 May,Saturday of the fifth week of Easter,,,
,,,,
10 May,6 EASTER,,,
11 May,Monday of the sixth week of Easter,,,
12 May,Tuesday of the sixth week of Easter,,,
,Saints Nereus and Achilleus,,,
,Saint Pancras,,,
13 May,Wednesday of the sixth week of Easter,,,
,Our Lady of Fatima,,,
14 May,Saint Matthias,,,
15 May,Friday of the sixth week of Easter,,,
16 May,Saturday of the sixth week of Easter,,,
,,,,
17 May,THE ASCENSION OF THE LORD,,,
18 May,Monday of the seventh week of Easter,,,
,Saint John I,,,
19 May,Tuesday of the seventh week of Easter,,,
20 May,Wednesday of the seventh week of Easter,,,
,Saint Bernadine of Siena,,,
21 May,Thursday of the seventh week of Easter,,,
,Saints Christopher Magallenes and companions,,,
22 May,Friday of the seventh week of Easter,,,
,Saint Rita of Cascia,,,
23 May,Saturday of the seventh week of Easter,,,
,,,,
24 May,PENTECOST,,,
25 May,"OUR LADY, HELP OF CHRISTIANS  (NZ: memorial)",,,
26 May,Saint Philip Neri,,,
27 May,Wednesday of the eighth week in Ordinary Time,,,
,Saint Augustine of Canterbury,,,
28 May,Thursday of the eighth week in Ordinary Time,,,
29 May,Friday of the eighth week in Ordinary Time,,,
,Saint Paul VI,,,
30 May,Saturday of the eighth week in Ordinary Time,,,
,Saturday Mass of the Virgin Mary,,,
,,,,
