Admin Order,Year,Week,Day,Time,Liturgical Day,First Reading,Psalm,Second Reading,Gospel Reading,Reflection,Author,Organisation
221,1,19,Tuesday,Ordinary,Tuesday of the nineteenth week,Deuteronomy 31:1-8,"Deuteronomy 32:3-4, 7-9",,"Matthew 18:1-5, 10, 12-14",,,
222,1,19,Wednesday,Ordinary,Wednesday of the nineteenth week,Deuteronomy 34:1-12,"Psalm 65:1-3, 5, 16-17",,Matthew 18:15-20,,,
223,1,19,Thursday,Ordinary,Thursday of the nineteenth week,"Joshua 3:7-11, 13-17",Psalm 113A:1-6,,Matthew 18:21 – 19:1,,,
224,1,19,Friday,Ordinary,Friday of the nineteenth week,Joshua 24:1-13,"Psalm 135:1-3, 16-18, 21-22, 24",,Matthew 19:3-12,,,
225,1,19,Saturday,Ordinary,Saturday of the nineteenth week,Joshua 24:14-29,"Psalm 15:1-2, 5, 7-8, 11",,Matthew 19:13-15,,,
226,1,20,Monday,Ordinary,Monday of the twentieth week,Judges 2:11-19,"Psalm 105:34-37, 39-40, 43-44",,Matthew 19:16-22,,,
227,1,20,Tuesday,Ordinary,Tuesday of the twentieth week,Judges 6:11-24,"Psalm 84:9, 11-14",,Matthew 19:23-30,,,
228,1,20,Wednesday,Ordinary,Wednesday of the twentieth week,Judges 9:6-15,Psalm 20:2-7,,Matthew 20:1-16,,,
229,1,20,Thursday,Ordinary,Thursday of the twentieth week,Judges 11:29-39,"Psalm 39:5, 7-10",,Matthew 22:1-14,,,
230,1,20,Friday,Ordinary,Friday of the twentieth week,"Ruth 1:1, 3-6, 14-16, 22",Psalm 145:5-10,,Matthew 22:34-40,,,
231,1,20,Saturday,Ordinary,Saturday of the twentieth week,"Ruth 2:1-3, 8-11; 4:13-17",Psalm 127:1-5,,Matthew 23:1-12,,,
232,1,21,Monday,Ordinary,Monday of the twenty-first week,"1 Thessalonians 1:1-5, 8-10","Psalm 149:1-6, 9",,Matthew 23:13-22,,,
233,1,21,Tuesday,Ordinary,Tuesday of the twenty-first week,1 Thessalonians 2:1-8,"Psalm 138:1-3, 4-6",,Matthew 23:23-26,,,
234,1,21,Wednesday,Ordinary,Wednesday of the twenty-first week,1 Thessalonians 2:9-13,Psalm 138:7-12,,Matthew 23:27-32,,,
235,1,21,Thursday,Ordinary,Thursday of the twenty-first week,1 Thessalonians 3:7-13,"Psalm 89:3-4, 12-14, 17",,Matthew 24:42-51,,,
236,1,21,Friday,Ordinary,Friday of the twenty-first week,1 Thessalonians 4:1-8,"Psalm 96:1-2, 5-6, 10-12",,Matthew 25:1-13,,,
237,1,21,Saturday,Ordinary,Saturday of the twenty-first week,1 Thessalonians 4:9-11,"Psalm 97:1, 7-9",,Matthew 25:14-30,,,
238,1,22,Monday,Ordinary,Monday of the twenty-second week,1 Thessalonians 4:13-18,"Psalm 95:1, 3, 5, 11-13",,Luke 4:16-30,,,
239,1,22,Tuesday,Ordinary,Tuesday of the twenty-second week,"1 Thessalonians 5:1-6, 9-11","Psalm 26:1, 4, 13-14",,Luke 4:31-37,,,
240,1,22,Wednesday,Ordinary,Wednesday of the twenty-second week,Colossians 1:1-8,Psalm 51:10-11,,Luke 4:38-44,,,
241,1,22,Thursday,Ordinary,Thursday of the twenty-second week,Colossians 1:9-14,Psalm 97:2-6,,Luke 5:1-11,,,
242,1,22,Friday,Ordinary,Friday of the twenty-second week,Colossians 1:15-20,Psalm 99:2-5,,Luke 5:33-39,,,
243,1,22,Saturday,Ordinary,Saturday of the twenty-second week,Colossians 1:21-23,"Psalm 53:3-4, 6, 8",,Luke 6:1-5,,,
244,1,23,Monday,Ordinary,Monday of the twenty-third week,Colossians 1:24 – 2:3,"Psalm 61:6-7, 9",,Luke 6:6-11,,,
245,1,23,Tuesday,Ordinary,Tuesday of the twenty-third week,Colossians 2:6-15,"Psalm 144:1-2, 8-11",,Luke 6:12-19,,,
246,1,23,Wednesday,Ordinary,Wednesday of the twenty-third week,Colossians 3:1-11,"Psalm 144:2-3, 10-13",,Luke 6:20-26,,,
247,1,23,Thursday,Ordinary,Thursday of the twenty-third week,Colossians 3:12-17,Psalm 150:1-6,,Luke 6:27-38,,,
248,1,23,Friday,Ordinary,Friday of the twenty-third week,"1 Timothy 1:1-2, 12-14","Psalm 15:1-2, 5, 7-8, 11",,Luke 6:39-42,,,
249,1,23,Saturday,Ordinary,Saturday of the twenty-third week,1 Timothy 1:15-17,Psalm 112:1-7,,Luke 6:43-49,,,
250,1,24,Monday,Ordinary,Monday of the twenty-fourth week,1 Timothy 2:1-8,"Psalm 27:2, 7-9",,Luke 7:1-10,,,
251,1,24,Tuesday,Ordinary,Tuesday of the twenty-fourth week,1 Timothy 3:1-13,"Psalm 100:1-3, 5, 6",,Luke 7:11-17,,,
252,1,24,Wednesday,Ordinary,Wednesday of the twenty-fourth week,1 Timothy 3:14-16,Psalm 110:1-6,,Luke 7:31-35,,,
253,1,24,Thursday,Ordinary,Thursday of the twenty-fourth week,1 Timothy 4:12-16,Psalm 110:7-10,,Luke 7:36-50,,,
254,1,24,Friday,Ordinary,Friday of the twenty-fourth week,1 Timothy 6:2-12,"Psalm 48:6-10, 17-20",,Luke 8:1-3,,,
255,1,24,Saturday,Ordinary,Saturday of the twenty-fourth week,1 Timothy 6:13-16,Psalm 99,,Luke 8:4-15,,,
256,1,25,Monday,Ordinary,Monday of the twenty-fifth week,Ezra 1:1-6,Psalm 125,,Luke 8:16-18,,,
257,1,25,Tuesday,Ordinary,Tuesday of the twenty-fifth week,"Ezra 6:7-8, 12, 14-20",Psalm 121:1-5,,Luke 8:19-21,,,
258,1,25,Wednesday,Ordinary,Wednesday of the twenty-fifth week,Ezra 9:5-9,"Tobit 13:2, 4, 6-8",,Luke 9:1-6,,,
259,1,25,Thursday,Ordinary,Thursday of the twenty-fifth week,Haggai 1:1-8,"Psalm 149:1-6, 9",,Luke 9:7-9,,,
260,1,25,Friday,Ordinary,Friday of the twenty-fifth week,Haggai 1:15 – 2:9,Psalm 42:1-4,,Luke 9:18-22,,,
261,1,25,Saturday,Ordinary,Saturday of the twenty-fifth week,"Zechariah 2:5-9, 14-15",Jeremiah 31:10-13,,Luke 9:43-45,,,
262,1,26,Monday,Ordinary,Monday of the twenty-sixth week,Zechariah 8:1-8,"Psalm 101:16-21, 29, 22-23",,Luke 9:46-50,,,
263,1,26,Tuesday,Ordinary,Tuesday of the twenty-sixth week,Zechariah 8:20-23,Psalm 86,,Luke 9:51-56,,,
264,1,26,Wednesday,Ordinary,Wednesday of the twenty-sixth week,Nehemiah 2:1-8,Psalm 136:1-6,,Luke 9:57-62,,,
265,1,26,Thursday,Ordinary,Thursday of the twenty-sixth week,Nehemiah 8:1-12,Psalm 18:8-11,,Luke 10:1-12,,,
266,1,26,Friday,Ordinary,Friday of the twenty-sixth week,Baruch 1:15-22,"Psalm 78:1-5, 8-9",,Luke 10:13-16,,,
267,1,26,Saturday,Ordinary,Saturday of the twenty-sixth week,"Baruch 4:5-12, 27-29",Psalm 68:33-37,,Luke 10:17-24,,,
268,1,27,Monday,Ordinary,Monday of the twenty-seventh week,"Jonah 1:1 – 2:1, 11","Jonah 2:3-5, 8",,Luke 10:25-37,,,
269,1,27,Tuesday,Ordinary,Tuesday of the twenty-seventh week,Jonah 3:1-10,"Psalm 129:1-4, 7-8",,Luke 10:38-42,,,
270,1,27,Wednesday,Ordinary,Wednesday of the twenty-seventh week,Jonah 4:1-11,"Psalm 85:3-6, 9-10",,Luke 11:1-4,,,
271,1,27,Thursday,Ordinary,Thursday of the twenty-seventh week,Malachi 3:13-20,Psalm 1,,Luke 11:5-13,,,
272,1,27,Friday,Ordinary,Friday of the twenty-seventh week,Joel 1:13-15; 2:1-2,"Psalm 9:2-3, 6, 16, 8-9",,Luke 11:15-26,,,
273,1,27,Saturday,Ordinary,Saturday of the twenty-seventh week,Joel 4:12-21,"Psalm 96:1-2, 5-6, 11-12",,Luke 11:27-28,,,
274,1,28,Monday,Ordinary,Monday of the twenty-eighth week,Romans 1:1-7,Psalm 97:1-4,,Luke 11:29-32,,,
275,1,28,Tuesday,Ordinary,Tuesday of the twenty-eighth week,Romans 1:16-25,Psalm 18:2-5,,Luke 11:37-41,,,
276,1,28,Wednesday,Ordinary,Wednesday of the twenty-eighth week,Romans 2:1-11,"Psalm 61:2-3, 6-7, 9",,Luke 11:42-46,,,
277,1,28,Thursday,Ordinary,Thursday of the twenty-eighth week,Romans 3:21-30,Psalm 129:1-6,,Luke 11:47-54,,,
278,1,28,Friday,Ordinary,Friday of the twenty-eighth week,Romans 4:1-8,"Psalm 31:1-2, 5, 11",,Luke 12:1-7,,,
279,1,28,Saturday,Ordinary,Saturday of the twenty-eighth week,"Romans 4:13, 16-18","Psalm 104:6-9, 42-43",,Luke 12:9-12,,,
280,1,29,Monday,Ordinary,Monday of the twenty-ninth week,Romans 4:20-25,Luke 1:69-75,,Luke 12:13-21,,,
281,1,29,Tuesday,Ordinary,Tuesday of the twenty-ninth week,"Romans 5:12, 15, 17-21","Psalm 39:7-10, 17",,Luke 12:35-38,,,
282,1,29,Wednesday,Ordinary,Wednesday of the twenty-ninth week,Romans 6:12-18,Psalm 123,,Luke 12:39-48,,,
283,1,29,Thursday,Ordinary,Thursday of the twenty-ninth week,Romans 6:19-23,"Psalm 1:1-4, 6",,Luke 12:49-53,,,
284,1,29,Friday,Ordinary,Friday of the twenty-ninth week,Romans 7:18-25,"Psalm 118:66, 68, 76-77, 93-94",,Luke 12:54-59,,,
285,1,29,Saturday,Ordinary,Saturday of the twenty-ninth week,Romans 8:1-11,Psalm 23:1-6,,Luke 13:1-9,,,
286,1,30,Monday,Ordinary,Monday of the thirtieth week,Romans 8:12-17,"Psalm 67:2, 4, 6-7, 20-21",,Luke 13:10-17,,,
287,1,30,Tuesday,Ordinary,Tuesday of the thirtieth week,Romans 8:18-25,Psalm 125,,Luke 13:18-21,,,
288,1,30,Wednesday,Ordinary,Wednesday of the thirtieth week,Romans 8:26-30,Psalm 12:4-6,,Luke 13:22-30,,,
289,1,30,Thursday,Ordinary,Thursday of the thirtieth week,Romans 8:31-39,"Psalm 108:21-22, 26-27, 30-31",,Luke 13:31-35,,,
290,1,30,Friday,Ordinary,Friday of the thirtieth week,Romans 9:1-5,"Psalm 147:12-15, 19-20",,Luke 14:1-6,,,
291,1,30,Saturday,Ordinary,Saturday of the thirtieth week,"Romans 11:1-2, 11-12, 25-29","Psalm 93:12-15, 17-18",,"Luke 14:1, 7-11",,,
292,1,31,Monday,Ordinary,Monday of the thirty-first week,Romans 11:29-36,"Psalm 68:30-31, 33-34, 36-37",,Luke 14:12-14,,,
293,1,31,Tuesday,Ordinary,Tuesday of the thirty-first week,Romans 12:5-16,Psalm 130,,Luke 14:15-24,,,
294,1,31,Wednesday,Ordinary,Wednesday of the thirty-first week,Romans 13:8-10,"Psalm 111:1-2, 4-5, 9",,Luke 14:25-33,,,
295,1,31,Thursday,Ordinary,Thursday of the thirty-first week,Romans 14:7-12,"Psalm 26:1, 4, 13-14",,Luke 15:1-10,,,
296,1,31,Friday,Ordinary,Friday of the thirty-first week,Romans 15:14-21,Psalm 97:1-4,,Luke 16:1-8,,,
297,1,31,Saturday,Ordinary,Saturday of the thirty-first week,"Romans 16:3-9, 16, 22-27","Psalm 144:2-5, 10-11",,Luke 16:9-15,,,
298,1,32,Monday,Ordinary,Monday of the thirty-second week,Wisdom 1:1-7,Psalm 138:1-10,,Luke 17:1-6,,,
299,1,32,Tuesday,Ordinary,Tuesday of the thirty-second week,Wisdom 2:23 – 3:9,"Psalm 33:2-3, 16-19",,Luke 17:7-10,,,
300,1,32,Wednesday,Ordinary,Wednesday of the thirty-second week,Wisdom 6:1-11,"Psalm 81:3-4, 6-7",,Luke 17:11-19,,,
301,1,32,Thursday,Ordinary,Thursday of the thirty-second week,Wisdom 7:22 – 8:1,"Psalm 118:89-91, 130, 135, 175",,Luke 17:20-25,,,
302,1,32,Friday,Ordinary,Friday of the thirty-second week,Wisdom 13:1-9,Psalm 18:2-5,,Luke 17:26-37,,,
303,1,32,Saturday,Ordinary,Saturday of the thirty-second week,Wisdom 18:14-16; 19:6-9,"Psalm 104:2-3, 36-37, 42-43",,Luke 18:1-8,,,
304,1,33,Monday,Ordinary,Monday of the thirty-third week,"1 Maccabees 1:10-15, 41-43, 54-57, 62-64","Psalm 118:53, 61, 134, 150, 155, 158",,Luke 18:35-43,,,
305,1,33,Tuesday,Ordinary,Tuesday of the thirty-third week,2 Maccabees 6:18-31,Psalm 3:2-7,,Luke 19:1-10,,,
306,1,33,Wednesday,Ordinary,Wednesday of the thirty-third week,"2 Maccabees 7:1, 20-31","Psalm 16:1, 5-6, 8, 15",,Luke 19:11-28,,,
307,1,33,Thursday,Ordinary,Thursday of the thirty-third week,1 Maccabees 2:15-29,"Psalm 49:1-2, 5-6, 14-15",,Luke 19:41-44,,,
308,1,33,Friday,Ordinary,Friday of the thirty-third week,"1 Maccabees 4:36-37, 52-59","1 Chronicles 29:10-12,",,Luke 19:45-48,,,
309,1,33,Saturday,Ordinary,Saturday of the thirty-third week,1 Maccabees 6:1-13,"Psalm 9:2-4, 6, 16, 19",,Luke 20:27-40,,,
310,1,34,Monday,Ordinary,Monday of the thirty-fourth week,"Daniel 1:1-6, 8-20",Daniel 3:52-56,,Luke 21:1-4,,,
311,1,34,Tuesday,Ordinary,Tuesday of the thirty-fourth week,Daniel 2:31-45,Daniel 3:57-61,,Luke 21:5-11,,,
312,1,34,Wednesday,Ordinary,Wednesday of the thirty-fourth week,"Daniel 5:1-6, 13-14, 16-17, 23-28",Daniel 3:62-67,,Luke 21:12-19,,,
313,1,34,Thursday,Ordinary,Thursday of the thirty-fourth week,Daniel 6:12-28,Daniel 3:68-74,,Luke 21:20-28,,,
314,1,34,Friday,Ordinary,Friday of the thirty-fourth week,Daniel 7:2-14,Daniel 3:75-81,,Luke 21:29-33,,,
315,1,34,Saturday,Ordinary,Saturday of the thirty-fourth week,Daniel 7:15-27,Daniel 3:82-87,,Luke 21:34-36,,,
316,2,1,Monday,Ordinary,Monday of the first week,1 Samuel 1:1-8,Psalm 115:12-19,,Mark 1:14-20,,,
317,2,1,Tuesday,Ordinary,Tuesday of the first week,1 Samuel 1:9-20,"1 Samuel 2:1, 4-8",,Mark 1:21-28,,,
318,2,1,Wednesday,Ordinary,Wednesday of the first week,"1 Samuel 3:1-10, 19-20","Psalm 39:2, 5, 7-10",,Mark 1:29-39,,,
319,2,1,Thursday,Ordinary,Thursday of the first week,1 Samuel 4:1-11,"Psalm 43:10-11, 14-15, 24-25",,Mark 1:40-45,,,
320,2,1,Friday,Ordinary,Friday of the first week,"1 Samuel 8:4-7, 10-22",Psalm 88:16-19,,Mark 2:1-12,,,
321,2,1,Saturday,Ordinary,Saturday of the first week,"1 Samuel 9:1-4, 17-19; 10:1",Psalm 20:2-7,,Mark 2:13-17,,,
322,2,2,Monday,Ordinary,Monday of the second week,1 Samuel 15:16-23,"Psalm 49:8-9, 16-17, 21, 23",,Mark 2:18-22,,,
323,2,2,Tuesday,Ordinary,Tuesday of the second week,1 Samuel 16:1-13,"Psalm 88:20-22, 27-28",,Mark 2:23-28,,,
324,2,2,Wednesday,Ordinary,Wednesday of the second week,"1 Samuel 17:32-33, 37, 40-51","Psalm 143:1-2, 9-10",,Mark 3:1-6,,,
325,2,2,Thursday,Ordinary,Thursday of the second week,1 Samuel 18:6-9; 19:1-7,"Psalm 55:2-3, 9-14",,Mark 3:7-12,,,
326,2,2,Friday,Ordinary,Friday of the second week,1 Samuel 24:3-21,"Psalm 56:2-4, 6, 11",,Mark 3:13-19,,,
327,2,2,Saturday,Ordinary,Saturday of the second week,"2 Samuel 1:1-4, 11-12, 17, 19, 23-27","Psalm 79:2-3, 5-7",,Mark 3:20-21,,,
328,2,3,Monday,Ordinary,Monday of the third week,"2 Samuel 5:1-7, 10","Psalm 88:20-22, 25-26",,Mark 3:22-30,,,
329,2,3,Tuesday,Ordinary,Tuesday of the third week,"2 Samuel 6:12-15, 17-19",Psalm 23:7-10,,Mark 3:31-35,,,
330,2,3,Wednesday,Ordinary,Wednesday of the third week,2 Samuel 7:4-17,"Psalm 88:4-5, 27-30",,Mark 4:1-20,,,
331,2,3,Thursday,Ordinary,Thursday of the third week,"2 Samuel 7:18-19, 24-29","Psalm 131:1-5, 11-14",,Mark 4:21-25,,,
332,2,3,Friday,Ordinary,Friday of the third week,"2 Samuel 11:1-10, 13-17","Psalm 50:3-7, 10-11",,Mark 4:26-34,,,
333,2,3,Saturday,Ordinary,Saturday of the third week,"2 Samuel 12:1-7, 10-17",Psalm 50:12-17,,Mark 4:35-41,,,
334,2,4,Monday,Ordinary,Monday of the fourth week,"2 Samuel 15:13-14, 30; 16:5-13",Psalm 3:2-8,,Mark 5:1-20,,,
335,2,4,Tuesday,Ordinary,Tuesday of the fourth week,"2 Samuel 18:9-10, 14, 24-25",Psalm 85:1-6,,Mark 5:21-43,,,
336,2,4,Wednesday,Ordinary,Wednesday of the fourth week,"2 Samuel 24:2, 9-17","Psalm 31:1-2, 5-7",,Mark 6:1-6,,,
337,2,4,Thursday,Ordinary,Thursday of the fourth week,"1 Kings 2:1-4, 10-12",1 Chronicles 29:10-12,,Mark 6:7-13,,,
338,2,4,Friday,Ordinary,Friday of the fourth week,Sirach 47:2-11,"Psalm 17:31, 47, 50-51",,Mark 6:14-29,,,
339,2,4,Saturday,Ordinary,Saturday of the fourth week,1 Kings 3:4-13,Psalm 118:9-14,,Mark 6:30-34,,,
340,2,5,Monday,Ordinary,Monday of the fifth week,"1 Kings 8:1-7, 9-13",Psalm 131:6-10,,Mark 6:53-56,,,
341,2,5,Tuesday,Ordinary,Tuesday of the fifth week,"1 Kings 8:22-23, 27-30","Psalm 83:3-5, 10-11",,Mark 7:1-13,,,
342,2,5,Wednesday,Ordinary,Wednesday of the fifth week,1 Kings 10:1-10,"Psalm 36:5-6, 30-3 1, 39-40",,Mark 7:14-23,,,
343,2,5,Thursday,Ordinary,Thursday of the fifth week,1 Kings 11:4-13,"Psalm 105:3-4, 35-37, 40",,Mark 7:24-30,,,
344,2,5,Friday,Ordinary,Friday of the fifth week,1 Kings 11:29-32; 12:19,Psalm 80:10-15,,Mark 7:31-37,,,
345,2,5,Saturday,Ordinary,Saturday of the fifth week,1 Kings 12:26-32; 13:33-34,"Psalm 105:6-7, 19-22",,Mark 8:1-10,,,
346,2,6,Monday,Ordinary,Monday of the sixth week,James 1:1-11,"Psalm 118:67-68, 71-72, 75-76",,Mark 8:11-13,,,
347,2,6,Tuesday,Ordinary,Tuesday of the sixth week,James 1:12-18,"Psalm 93:12-15, 18-19",,Mark 8:14-21,,,
348,2,6,Wednesday,Ordinary,Wednesday of the sixth week,James 1:19-27,Psalm 14:2-5,,Mark 8:22-26,,,
349,2,6,Thursday,Ordinary,Thursday of the sixth week,James 2:1-9,Psalm 33:2-7,,Mark 8:27-33,,,
350,2,6,Friday,Ordinary,Friday of the sixth week,"James 2:14-24, 26",Psalm 111:1-6,,Mark 8:34-9:1,,,
351,2,6,Saturday,Ordinary,Saturday of the sixth week,James 3:1-10,"Psalm 11:2-5, 7-8",,Mark 9:2-13,,,
352,2,7,Monday,Ordinary,Monday of the seventh week,James 3:13-18,"Psalm 18:8-10, 15",,Mark 9:14-29,,,
353,2,7,Tuesday,Ordinary,Tuesday of the seventh week,James 4:1-10,"Psalm 54:7-11, 23",,Mark 9:30-37,,,
354,2,7,Wednesday,Ordinary,Wednesday of the seventh week,James 4:13-17,"Psalm 48:2-3, 6-11",,Mark 9:38-40,,,
355,2,7,Thursday,Ordinary,Thursday of the seventh week,James 5:1-6,Psalm 48:14-20,,Mark 9:41-50,,,
356,2,7,Friday,Ordinary,Friday of the seventh week,James 5:9-12,"Psalm 102:1-4, 8-9, 11-12",,Mark 10:1-12,,,
357,2,7,Saturday,Ordinary,Saturday of the seventh week,James 5:13-20,"Psalm 140:1-3, 8",,Mark 10:13-16,,,
358,2,8,Monday,Ordinary,Monday of the eighth week,1 Peter 1:3-9,"Psalm 110:1-2, 5-6, 9-10",,Mark 10:17-27,,,
359,2,8,Tuesday,Ordinary,Tuesday of the eighth week,1 Peter 1:10-16,Psalm 97:1-4,,Mark 10:28-31,,,
360,2,8,Wednesday,Ordinary,Wednesday of the eighth week,1 Peter 1:18-25,"Psalm 147:12-15, 19-20",,Mark 10:32-45,,,
361,2,8,Thursday,Ordinary,Thursday of the eighth week,"1 Peter 2:2-5, 9-12",Psalm 99:2-5,,Mark 10:46-52,,,
362,2,8,Friday,Ordinary,Friday of the eighth week,1 Peter 4:7-13,Psalm 95:10-13,,Mark 11:11-26,,,
363,2,8,Saturday,Ordinary,Saturday of the eighth week,"Jude 17, 20-25",Psalm 62:2-6,,Mark 11:27-33,,,
364,2,9,Monday,Ordinary,Monday of the ninth week,2 Peter 1:2-7,"Psalm 90:1-2, 14-16",,Mark 12:1-12,,,
365,2,9,Tuesday,Ordinary,Tuesday of the ninth week,"2 Peter 3:11-15, 17-18","Psalm 89 2-4, 10, 14, 16",,Mark 12:13-17,,,
366,2,9,Wednesday,Ordinary,Wednesday of the ninth week,"2 Timothy 1:1-3, 6-12",Psalm 122:1-2,,Mark 12:18-27,,,
367,2,9,Thursday,Ordinary,Thursday of the ninth week,2 Timothy 2:8-15,"Psalm 24:4-5, 8-10, 14",,Mark 12:28-34,,,
368,2,9,Friday,Ordinary,Friday of the ninth week,2 Timothy 3:10-17,"Psalm 118:157, 160-161, 165-166, 168",,Mark 12:35-37,,,
369,2,9,Saturday,Ordinary,Saturday of the ninth week,2 Timothy 4:1-8,"Psalm 70:8-9, 14-17, 22",,Mark 12:38-44,,,
370,2,10,Monday,Ordinary,Monday of the tenth week,1 Kings 17:1-6,Psalm 120:1-8,,Matthew 5:1-12,,,
371,2,10,Tuesday,Ordinary,Tuesday of the tenth week,1 Kings 17:7-16,"Psalm 4:2-5, 7-8",,Matthew 5:13-16,,,
372,2,10,Wednesday,Ordinary,Wednesday of the tenth week,1 Kings 18:20-39,"Psalm 15:1-2, 4-5, 8, 11",,Matthew 5:17-19,,,
373,2,10,Thursday,Ordinary,Thursday of the tenth week,1 Kings 18:41-46,Psalm 64:10-13,,Matthew 5:20-26,,,
374,2,10,Friday,Ordinary,Friday of the tenth week,"1 Kings 19:9, 11-16","Psalm 26:7-9, 13-14",,Matthew 5:27-32,,,
375,2,10,Saturday,Ordinary,Saturday of the tenth week,1 Kings 19:19-21,"Psalm 15:1-2, 5, 7-10",,Matthew 5:33-37,,,
376,2,11,Monday,Ordinary,Monday of the eleventh week,1 Kings 21:1-16,"Psalm 5:2-3, 5-7",,Matthew 5:38-42,,,
377,2,11,Tuesday,Ordinary,Tuesday of the eleventh week,1 Kings 21:17-29,"Psalm 50:3-6, 11, 16",,Matthew 5:43-48,,,
378,2,11,Wednesday,Ordinary,Wednesday of the eleventh week,"2 Kings 2:1, 6-14","Psalm 30:20, 21, 24",,"Matthew 6:1-6, 16-18",,,
379,2,11,Thursday,Ordinary,Thursday of the eleventh week,Sirach 48:1-14,Psalm 96:1-7,,Matthew 6:7-15,,,
380,2,11,Friday,Ordinary,Friday of the eleventh week,"2 Kings 11:1-4, 9-18, 20","Psalm 131:11-14, 17-18",,Matthew 6:19-23,,,
381,2,11,Saturday,Ordinary,Saturday of the eleventh week,2 Chronicles 24:17-25,"Psalm 88:4-5, 29-34",,Matthew 6:24-34,,,
382,2,12,Monday,Ordinary,Monday of the twelfth week,"2 Kings 17:5-8, 13-15, 18","Psalm 59:3-5, 12-13",,Matthew 7:1-5,,,
383,2,12,Tuesday,Ordinary,Tuesday of the twelfth week,"2 Kings 19:9-11, 14-21, 31-36","Psalm 47:2-4, 10-11",,"Matthew 7:6, 12-14",,,
384,2,12,Wednesday,Ordinary,Wednesday of the twelfth week,2 Kings 22:8-13; 23:1-3,"Psalm 118:33-37, 40",,Matthew 7:15-20,,,
385,2,12,Thursday,Ordinary,Thursday of the twelfth week,2 Kings 24:8-17,"Psalm 78:1-5, 8-9",,Matthew 7:21-29,,,
386,2,12,Friday,Ordinary,Friday of the twelfth week,2 Kings 25:1-12,Psalm 136:1-6,,Matthew 8:1-4,,,
387,2,12,Saturday,Ordinary,Saturday of the twelfth week,"Lamentations 2:2, 10-14, 18-19","Psalm 73:1-7, 20-21",,Matthew 8:5-17,,,
388,2,13,Monday,Ordinary,Monday of the thirteenth week,"Amos 2:6-10, 13-16",Psalm 49:16-23,,Matthew 8:18-22,,,
389,2,13,Tuesday,Ordinary,Tuesday of the thirteenth week,Amos 3:1-8; 4:11-12,Psalm 5:5-8,,Matthew 8:23-27,,,
390,2,13,Wednesday,Ordinary,Wednesday of the thirteenth week,"Amos 5:14-15, 21-24","Psalm 49:7-13, 16-17",,Matthew 8:28-34,,,
391,2,13,Thursday,Ordinary,Thursday of the thirteenth week,Amos 7:10-17,Psalm 18:8-11,,Matthew 9:1-8,,,
392,2,13,Friday,Ordinary,Friday of the thirteenth week,"Amos 8:4-6, 9-12","Psalm 118:2, 10, 20, 30, 40, 131",,Matthew 9:9-13,,,
393,2,13,Saturday,Ordinary,Saturday of the thirteenth week,Amos 9:11-15,"Psalm 84:9, 11-14",,Matthew 9:14-17,,,
394,2,14,Monday,Ordinary,Monday of the fourteenth week,"Hosea 2:16-18, 21-22",Psalm 144:2-9,,Matthew 9:18-26,,,
395,2,14,Tuesday,Ordinary,Tuesday of the fourteenth week,"Hosea 8:4-7, 11-13",Psalm 113B:3-10,,Matthew 9:32-38,,,
396,2,14,Wednesday,Ordinary,Wednesday of the fourteenth week,"Hosea 10:1-3, 7-8, 12",Psalm 104:2-7,,Matthew 10:1-7,,,
397,2,14,Thursday,Ordinary,Thursday of the fourteenth week,"Hosea 11:1-4, 8-9","Psalm 79:2-3, 15-16",,Matthew 10:7-15,,,
398,2,14,Friday,Ordinary,Friday of the fourteenth week,Hosea 14:2-10,"Psalm 50:3-4, 8-9, 12-14, 17",,Matthew 10:16-23,,,
399,2,14,Saturday,Ordinary,Saturday of the fourteenth week,Isaiah 6:1-8,"Psalm 92:1-2, 5",,Matthew 10:24-33,,,
400,2,15,Monday,Ordinary,Monday of the fifteenth week,Isaiah 1:10-17,"Psalm 49:8-9, 16-17, 21, 23",,Matthew 10:34 – 11:1,,,
401,2,15,Tuesday,Ordinary,Tuesday of the fifteenth week,Isaiah 7:1-9,Psalm 47:2-8,,Matthew 11:20-24,,,
402,2,15,Wednesday,Ordinary,Wednesday of the fifteenth week,"Isaiah 10:5-7, 13-16","Psalm 93:5-10, 14-15",,Matthew 11:25-27,,,
403,2,15,Thursday,Ordinary,Thursday of the fifteenth week,"Isaiah 26:7-9, 12, 16-19",Psalm 101:13-21,,Matthew 11:28-30,,,
404,2,15,Friday,Ordinary,Friday of the fifteenth week,"Isaiah 38:1-6, 21-22, 7-8","Is 38:10-12, 16",,Matthew 12:1-8,,,
405,2,15,Saturday,Ordinary,Saturday of the fifteenth week,Micah 2:1-5,"Psalm 9B:1-4, 7-8, 14",,Matthew 12:14-21,,,
406,2,16,Monday,Ordinary,Monday of the sixteenth week,"Micah 6:1-4, 6-8","Psalm 49:5-6, 8-9, 16-17, 21, 23",,Matthew 12:38-42,,,
407,2,16,Tuesday,Ordinary,Tuesday of the sixteenth week,"Micah 7:14-15, 18-20",Psalm 84:2-8,,Matthew 12:46-50,,,
408,2,16,Wednesday,Ordinary,Wednesday of the sixteenth week,"Jeremiah 1:1, 4-10","Psalm 70:1-6, 15, 17",,Matthew 13:1-9,,,
409,2,16,Thursday,Ordinary,Thursday of the sixteenth week,"Jeremiah 2:1-3, 7-8, 12-13",Psalm 35:6-11,,Matthew 13:10-17,,,
