Admin Order,Year,Week,Day,Time,Liturgical Day,First Reading,Psalm,Second Reading,Gospel Reading,Reflection,Author,Organisation
85,C,17,Sunday,Ordinary,SEVENTEENTH SUNDAY,Genesis 18:20-32,"Psalm 137:1-3, 6-8",Colossians 2:12-14,Luke 11:1-13,,,
86,C,18,Sunday,Ordinary,EIGHTEENTH SUNDAY,Ecclesiastes 1:2; 2:21-23,"Psalm 89:3-6, 12-14, 17","Colossians 3:1-5, 9-11",Luke 12:13-21,,,
87,C,19,Sunday,Ordinary,NINETEENTH SUNDAY,Wisdom 18:6-9,"Psalm 32:1, 12, 18-20, 22","Hebrews 11:1-2, 8-19",Luke 12:32-48,,,
88,C,20,Sunday,Ordinary,TWENTIETH SUNDAY,"Jeremiah 38:4-6, 8-10","Psalm 39:2-4, 18",Hebrews 12:1-4,Luke 12:49-53,,,
89,C,21,Sunday,Ordinary,TWENTY-FIRST SUNDAY,Isaiah 66:18-21,Psalm 116,"Hebrews 12:5-7, 11-13",Luke 13:22-30,,,
90,C,22,Sunday,Ordinary,TWENTY-SECOND SUNDAY,"Sirach 3:17-20, 28-29","Psalm 67:4-7, 10-11","Hebrews 12:18-19, 22-24","Luke 14:1, 7-14",,,
91,C,23,Sunday,Ordinary,TWENTY-THIRD SUNDAY,Wisdom 9:13-18,"Psalm 89:3-6, 12-14, 17","Philemon 9-10, 12-17",Luke 14:25-33,,,
92,C,24,Sunday,Ordinary,TWENTY-FOURTH SUNDAY,"Exodus 32:7-11, 13-14","Psalm 50:3-4, 12-13, 17, 19",1 Timothy 1:12-17,Luke 15:1-32,,,
93,C,25,Sunday,Ordinary,TWENTY-FIFTH SUNDAY,Amos 8:4-7,"Psalm 112:1-2, 4-8",1 Timothy 2:1-8,Luke 16:1-13,,,
94,C,26,Sunday,Ordinary,TWENTY-SIXTH SUNDAY,"Amos 6:1, 4-7",Psalm 145:6-10,1 Timothy 6:11-16,Luke 16:19-31,,,
95,C,27,Sunday,Ordinary,TWENTY-SEVENTH SUNDAY,Habakkuk 1:2-3; 2:2-4,"Psalm 94:1-2, 6-9","2 Timothy 1:6-8, 13-14",Luke 17:5-10,,,
96,C,28,Sunday,Ordinary,TWENTY-EIGHTH SUNDAY,2 Kings 5:14-17,Psalm 97:1-4,2 Timothy 2:8-13,Luke 17:11-19,,,
