calendar_date,year,month,day,day_of_week,liturgical_name,liturgical_season,liturgical_rank,week_number
2025-01-07,2025,1,7,Tuesday,</a>,Ordinary Time,Feria,
2026-01-07,2026,1,7,Wednesday,</a>,Ordinary Time,Feria,
